Name,Rider Number,Team,H,M,S
PRIMOŽ ROGLIČ,1,JUMBO - VISMA,3,31,5
MADS PEDERSEN,167,TREK - SEGAFREDO,3,31,5
ENRIC MAS,124,MOVISTAR TEAM,3,31,5
QUENTIN PACHER,75,GROUPAMA - FDJ,3,31,5
PAVEL SIVAKOV,87,INEOS GRENADIERS,3,31,5
BEN O'CONNOR,11,AG2R CITROEN TEAM,3,31,5
ETHAN HAYTER,84,INEOS GRENADIERS,3,31,5
REMCO EVENEPOEL,134,QUICK-STEP ALPHA VINYL TEAM,3,31,5
WILCO KELDERMAN,45,BORA - HANSGROHE,3,31,5
JAI HINDLEY,44,BORA - HANSGROHE,3,31,5
TAO GEOGHEGAN HART,83,INEOS GRENADIERS,3,31,5
SEPP KUSS,6,JUMBO - VISMA,3,31,5
SIMON PHILIP YATES,141,TEAM BIKEEXCHANGE-JAYCO,3,31,12
CARL FREDRIK HAGEN,107,ISRAEL-PREMIER TECH,3,31,12
JESUS EZQUERRA MUELA,194,BURGOS-BH,3,31,12
CARLOS RODRIGUEZ CANO,86,INEOS GRENADIERS,3,31,12
GINO MÄDER,33,BAHRAIN VICTORIOUS,3,31,12
DOMENICO POZZOVIVO,95,INTERMARCHE - WANTY - GOBERT MATERIAUX,3,31,12
RÉMY ROCHAS,57,COFIDIS,3,31,12
JHOAN ESTEBAN CHAVES,64,EF EDUCATION - EASYPOST,3,31,12
SERGIO ANDRES HIGUITA,43,BORA - HANSGROHE,3,31,12
LUCAS HAMILTON,145,TEAM BIKEEXCHANGE-JAYCO,3,31,12
JAN BAKELANTS,91,INTERMARCHE - WANTY - GOBERT MATERIAUX,3,31,12
RICHARD CARAPAZ,81,INEOS GRENADIERS,3,31,12
MIKEL LANDA,31,BAHRAIN VICTORIOUS,3,31,12
FRED WRIGHT,37,BAHRAIN VICTORIOUS,3,31,12
JOAO PEDRO GONÇALVES ALMEIDA,175,UAE TEAM EMIRATES,3,31,12
RIGOBERTO URAN,61,EF EDUCATION - EASYPOST,3,31,12
HUGH JOHN CARTHY,63,EF EDUCATION - EASYPOST,3,31,12
LOUIS MEINTJES,94,INTERMARCHE - WANTY - GOBERT MATERIAUX,3,31,12
BRANDON MCNULTY,176,UAE TEAM EMIRATES,3,31,12
CARLOS VERONA,128,MOVISTAR TEAM,3,31,12
G LAWSON CRADDOCK,142,TEAM BIKEEXCHANGE-JAYCO,3,31,12
LUIS LEON SANCHEZ,35,BAHRAIN VICTORIOUS,3,31,12
KENNY ELISSONDE,163,TREK - SEGAFREDO,3,31,12
MIGUEL ANGEL LOPEZ,21,ASTANA QAZAQSTAN TEAM,3,31,12
JUAN AYUSO PESQUERA,174,UAE TEAM EMIRATES,3,31,12
THYMEN ARENSMAN,151,TEAM DSM,3,31,12
REIN TAARAMÄE,96,INTERMARCHE - WANTY - GOBERT MATERIAUX,3,31,12
ALEJANDRO VALVERDE,121,MOVISTAR TEAM,3,31,12
JUAN PEDRO LOPEZ PEREZ,166,TREK - SEGAFREDO,3,31,12
RUDY MOLARD,74,GROUPAMA - FDJ,3,31,12
SANTIAGO BUITRAGO SANCHEZ,32,BAHRAIN VICTORIOUS,3,31,12
URKO BERRADE FERNANDEZ,202,EQUIPO KERN PHARMA,3,31,12
DAVID DE LA CRUZ,23,ASTANA QAZAQSTAN TEAM,3,31,12
SÉBASTIEN REICHENBACH,76,GROUPAMA - FDJ,3,31,22
OSCAR CABEDO CARDA,192,BURGOS-BH,3,31,24
SIMON GUGLIELMI,224,TEAM ARKEA - SAMSIC,3,31,24
MARK PADUN,66,EF EDUCATION - EASYPOST,3,31,25
CLÉMENT CHAMPOUSSIN,12,AG2R CITROEN TEAM,3,31,25
JULIAN ALAPHILIPPE,131,QUICK-STEP ALPHA VINYL TEAM,3,31,33
JOSE MANUEL DIAZ GALLEGO,193,BURGOS-BH,3,31,38
JOSE FELIX PARRA CUERDA,207,EQUIPO KERN PHARMA,3,31,38
JONATHAN CAICEDO,62,EF EDUCATION - EASYPOST,3,31,38
JAN POLANC,178,UAE TEAM EMIRATES,3,31,40
WOUTER POELS,34,BAHRAIN VICTORIOUS,3,31,40
JESUS HERRADA,51,COFIDIS,3,31,40
ELIE GESBERT,221,TEAM ARKEA - SAMSIC,3,31,40
RAUL GARCIA PIERNA,205,EQUIPO KERN PHARMA,3,31,47
VINCENZO NIBALI,26,ASTANA QAZAQSTAN TEAM,3,31,50
SAM OOMEN,7,JUMBO - VISMA,3,31,54
MERHAWI GHEBREMEDHIN,65,EF EDUCATION - EASYPOST,3,31,54
